Metric,Subject,Correlation,P_Value,Significant,N_Points
Q_Length,Human,0.4210723135500769,0.4057199888662386,False,6
Q_Length,Llama 3.1 70B,-0.2716701892960964,0.6025199833454824,False,6
Q_Length,Qwen 2.5 32B,-0.33762857457703055,0.5128007943639218,False,6
Q_Length,OLMo 13B,-0.5056236644626481,0.30619718560689935,False,6
Q_Length,Mistral 7B,-0.7176172774878937,0.10835140353484628,False,6
Q_Length,Phi-3 Mini,-0.5583021453195475,0.2495585302086156,False,6
Q_Length,InternLM 1.8B,-0.7498749845579686,0.0860195589653245,False,6
Q_Word_Count,Human,0.3550691975163808,0.48977872470086503,False,6
Q_Word_Count,Llama 3.1 70B,-0.12687290058310036,0.8107117687219669,False,6
Q_Word_Count,Qwen 2.5 32B,-0.18220604017596215,0.7297154726421603,False,6
Q_Word_Count,OLMo 13B,-0.3887595817473405,0.4462380251032715,False,6
Q_Word_Count,Mistral 7B,-0.6069428933426178,0.20137837311906712,False,6
Q_Word_Count,Phi-3 Mini,-0.4270313411832435,0.3983888019641935,False,6
Q_Word_Count,InternLM 1.8B,-0.7138737191322448,0.11109004415782313,False,6
Q_Sentence_Count,Human,0.2483636199667827,0.635114661383167,False,6
Q_Sentence_Count,Llama 3.1 70B,0.5200725254784491,0.2902246322193332,False,6
Q_Sentence_Count,Qwen 2.5 32B,0.5448869020822132,0.2635585804691669,False,6
Q_Sentence_Count,OLMo 13B,0.2715777711184222,0.6026483827494771,False,6
Q_Sentence_Count,Mistral 7B,0.13814127818144062,0.7941061586134016,False,6
Q_Sentence_Count,Phi-3 Mini,0.32504127557746254,0.5296086895636863,False,6
Q_Sentence_Count,InternLM 1.8B,-0.03672399131877785,0.9449387769555273,False,6
Q_Avg_Word_Length,Human,0.26769982458754826,0.6080423756292397,False,6
Q_Avg_Word_Length,Llama 3.1 70B,-0.5728613834217107,0.2347059321172132,False,6
Q_Avg_Word_Length,Qwen 2.5 32B,-0.6202573979606605,0.18892638034760334,False,6
Q_Avg_Word_Length,OLMo 13B,-0.43218350297164704,0.3920869204538148,False,6
Q_Avg_Word_Length,Mistral 7B,-0.3807733768255471,0.4564437893370527,False,6
Q_Avg_Word_Length,Phi-3 Mini,-0.4855044243948677,0.3289635909222849,False,6
Q_Avg_Word_Length,InternLM 1.8B,0.0005115226205479884,0.9992327161360992,False,6
Q_Max_Dependency_Depth,Human,0.19293711884771414,0.7141853379829368,False,6
Q_Max_Dependency_Depth,Llama 3.1 70B,0.3100388782443298,0.5498427876353107,False,6
Q_Max_Dependency_Depth,Qwen 2.5 32B,0.2799314875426611,0.5910707135923265,False,6
Q_Max_Dependency_Depth,OLMo 13B,0.04455892681787535,0.9332058456023166,False,6
Q_Max_Dependency_Depth,Mistral 7B,-0.17910816417700562,0.7342106249090303,False,6
Q_Max_Dependency_Depth,Phi-3 Mini,0.0289628096751936,0.9565679331317551,False,6
Q_Max_Dependency_Depth,InternLM 1.8B,-0.35743070272325406,0.486686030739971,False,6
